iter,loss1,loss2,total_loss
0.0,-0.8097446115523674,-0.8230615789222406,-1.6328061912269467
1.0,-0.915460910490359,-0.8498908787092091,-1.7653517860931371
2.0,-0.9212022939217596,-0.8562492367110733,-1.7774515336421879
3.0,-0.9245381589238729,-0.8612251646743924,-1.7857633236953412
4.0,-0.9271223282969348,-0.8644538121813672,-1.7915761360128073
5.0,-0.9289946378442286,-0.8676755734103511,-1.7966702120311873
6.0,-0.9304102734944719,-0.8778181476002795,-1.8082284218713593
7.0,-0.9318595906228119,-0.8904266885515145,-1.8222862850959605
8.0,-0.9342139172049221,-0.8969701470303613,-1.831184065691423
9.0,-0.9352518769545353,-0.9009210451806408,-1.836172922814708
10.0,-0.9356089695462964,-0.9042780762386633,-1.8398870458820356
11.0,-0.9378362491192958,-0.9078152285530824,-1.8456514792255936
12.0,-0.9378546507428446,-0.9111948623913507,-1.8490495134254232
13.0,-0.9394386186467708,-0.91358955947118,-1.8530281772442672
14.0,-0.9400520096578505,-0.9171643589140926,-1.8572163682807152
15.0,-0.9408977156935763,-0.9203634966856493,-1.8612612132529094
16.0,-0.9429529144243619,-0.9229082651557674,-1.8658611791918254
17.0,-0.9432402371583621,-0.9239884493599497,-1.86722868583878
18.0,-0.9442494755264991,-0.9264632638191944,-1.870712740413529
19.0,-0.9455566645056883,-0.9287400572812519,-1.8742967244079913
20.0,-0.9459956786337427,-0.9294492714956452,-1.8754449513913753
21.0,-0.9463707672656553,-0.931583443953859,-1.877954208695539
22.0,-0.9477808867681299,-0.932457390942092,-1.8802382749920947
23.0,-0.9485601695430396,-0.9341268810270663,-1.8826870526087012
24.0,-0.9494143021611515,-0.9356822985002972,-1.8850966020205122
25.0,-0.9503397036841327,-0.9363733396079719,-1.8867130405739776
26.0,-0.9511361707499438,-0.938415939819541,-1.8895521097928771
27.0,-0.951665696666761,-0.9389908393353515,-1.890656534157669
28.0,-0.9520074293163001,-0.9397935096526379,-1.8918009377069505
29.0,-0.9533079173355227,-0.9414170956184499,-1.8947250157691757
30.0,-0.9533540262849789,-0.9415720902164907,-1.894926118540065
31.0,-0.9540912666227608,-0.9432525119292231,-1.8973437776783002
32.0,-0.9556177571076135,-0.9445638660499249,-1.9001816227692345
33.0,-0.9557359987439085,-0.9451297076983249,-1.9008657050831699
34.0,-0.9566595103919312,-0.9456066507664099,-1.9022661637793923
35.0,-0.9568954189747864,-0.9465191805983988,-1.9034145969521339
36.0,-0.9575587873155985,-0.9471853369610317,-1.90474412476201
37.0,-0.957582606457732,-0.9480220388123578,-1.9056046471145331
38.0,-0.9581723638388544,-0.948975018453132,-1.907147383456898
39.0,-0.9595167494169664,-0.9495568329814202,-1.9090735830779184
40.0,-0.9597578796191013,-0.949913520281012,-1.9096714015504048
