iter,loss1,loss2,total_loss,val_loss
0.0,-0.915172528479553,-0.852238499444684,-1.7674110280135173,-1.7281973035226312
1.0,-0.9464536044203204,-0.8818142020341272,-1.8282678067917295,-1.7395661203970465
2.0,-0.9506435025087497,-0.9083071179682397,-1.85895062059355,-1.6929577102216689
3.0,-0.9498945820611319,-0.9227118964668239,-1.872606478014593,-1.7485836336586336
4.0,-0.9572375717134913,-0.9334330897893903,-1.89067066122512,-1.74178283926435
5.0,-0.9588972660158382,-0.9397920727174275,-1.8986893390135071,-1.7685168667992144
6.0,-0.9603996159873232,-0.9449001246922384,-1.9052997413764452,-1.7954166318756333
7.0,-0.9615676174190008,-0.9487513488616921,-1.9103189660277315,-1.7913236128398782
8.0,-0.9626335823080588,-0.9519566716752612,-1.9145902533137165,-1.7869571904058894
9.0,-0.9633822792965392,-0.9543078303426378,-1.9176901094308558,-1.7727250625360258
10.0,-0.964109415414578,-0.9564480683941844,-1.920557483922843,-1.7864025275665814
11.0,-0.9646260834250125,-0.958248065515337,-1.9228741485485075,-1.785165633447174
12.0,-0.9651320656970623,-0.9598293718208813,-1.9249614380139464,-1.8130373594131892
13.0,-0.9655899067255188,-0.9609972107248734,-1.9265871171180704,-1.7940280884739723
14.0,-0.9659264280671653,-0.9620975338600237,-1.9280239619420692,-1.7898259267422825
15.0,-0.966350836792335,-0.9630197778938118,-1.929370614735747,-1.7923925202604718
16.0,-0.9666134918986973,-0.9640470705185514,-1.9306605623974085,-1.7893369698788129
17.0,-0.9669015576004774,-0.9647206553526386,-1.9316222127447948,-1.791744117864877
18.0,-0.9672383762461438,-0.9654902602785626,-1.9327286361427845,-1.806332313242305
19.0,-0.9674667752085703,-0.9661507590237459,-1.9336175340636752,-1.8039522015652951
20.0,-0.9677866677272892,-0.9665894293394245,-1.9343760966302312,-1.795762076008753
21.0,-0.9681765504582527,-0.9672713856128862,-1.9354479354957759,-1.787100286657023
22.0,-0.9684278458428778,-0.9677958036308292,-1.9362236489628242,-1.7839605177371611
23.0,-0.9686007319149841,-0.9682831494246921,-1.936883881146235,-1.7895773338480583
24.0,-0.9688318417305815,-0.9686679921085132,-1.9374998341565364,-1.8045341748196932
25.0,-0.96900841341029,-0.9691810649475183,-1.9381894788141307,-1.7751052151735736
26.0,-0.9691857451397399,-0.9695376037430364,-1.9387233483470934,-1.790027545903343
27.0,-0.9693401991314129,-0.9698487289179837,-1.9391889280890768,-1.789741045302501
28.0,-0.9695273039195544,-0.9702337073577445,-1.93976101148562,-1.8058604626293997
29.0,-0.9696503075256199,-0.9704899609738661,-1.9401402680282833,-1.785915918918959
30.0,-0.9698509109529132,-0.9708336456857446,-1.9406845569511395,-1.801859327307998
31.0,-0.9699486548376627,-0.9711263340979931,-1.9410749892481376,-1.8130201285860927
32.0,-0.9700769492648769,-0.971646806840999,-1.941723756338997,-1.779816566862013
33.0,-0.9702282060330487,-0.9724359729776686,-1.9426641795960007,-1.7934606894497622
34.0,-0.9703637166895028,-0.9729335547297054,-1.9432972715828893,-1.7985198219993856
35.0,-0.9704831900161723,-0.9736133989294188,-1.9440965890150315,-1.7782223543849602
36.0,-0.9705929352467951,-0.9739203566400583,-1.9445132914106908,-1.778277135997022
37.0,-0.9707284710853065,-0.9743272352210692,-1.9450557065940572,-1.795980860271725
38.0,-0.9708173705871445,-0.974508882541074,-1.9453262530835782,-1.7974194330626754
39.0,-0.9709302148228132,-0.9747339972017648,-1.945664212024578,-1.787734296555391
40.0,-0.9710477489376361,-0.9749561912844619,-1.9460039401377776,-1.808238581458539
41.0,-0.9711324862179149,-0.9751497350705685,-1.9462822213132835,-1.8029156605967602
42.0,-0.9712393682233365,-0.9753532129823244,-1.9465925816719034,-1.785826152817333
43.0,-0.9713493463520283,-0.9755943035775853,-1.9469436501131345,-1.7804540142440495
44.0,-0.9714288578867128,-0.9757388189200644,-1.9471676761818137,-1.7965348307366997
