iter,loss1,loss2,total_loss
0.0,-0.8624855139652888,-0.8006516207456589,-1.6631371351480484
1.0,-0.9316577262878418,-0.8380968829790751,-1.7697546072006225
2.0,-0.948109053293864,-0.8474520221551259,-1.7955610795021058
3.0,-0.9531532599131266,-0.8742213049729665,-1.8273745663960774
4.0,-0.9559170428117116,-0.8919039273262024,-1.8478209697405497
5.0,-0.9575864123503367,-0.9066891169548035,-1.864275527159373
6.0,-0.9583521523475647,-0.9236564490795135,-1.8820086011886596
7.0,-0.9590536293983459,-0.938233421087265,-1.8972870467503866
8.0,-0.9603553585211436,-0.9457169940471649,-1.9060723512967428
9.0,-0.961016654253006,-0.951073568423589,-1.9120902217229208
10.0,-0.9618329351743062,-0.9550261236031851,-1.9168590602874755
11.0,-0.9627527032693227,-0.9579584534168244,-1.9207111589113872
12.0,-0.9637002939383189,-0.9606349744002024,-1.9243352697690328
13.0,-0.9636369124253591,-0.9622404038906097,-1.9258773175875346
14.0,-0.9646947170098623,-0.9641338057518005,-1.9288285223642985
15.0,-0.9649475766023,-0.9651164762179056,-1.9300640530586242
16.0,-0.9644422652721405,-0.9659336191018423,-1.9303758845329284
17.0,-0.9653475980758667,-0.9674487365881602,-1.9327963350613913
18.0,-0.9659509397347769,-0.968732081969579,-1.9346830234527588
19.0,-0.9659056721528371,-0.9691774321397145,-1.9350831015904744
20.0,-0.96618283812205,-0.9697386559645335,-1.9359214933713278
21.0,-0.9666978208223979,-0.9707007025082907,-1.9373985223770143
22.0,-0.9668026247819265,-0.9714554924964904,-1.938258116722107
23.0,-0.9670340100129445,-0.9717945138613383,-1.9388285234769185
24.0,-0.9666219723224639,-0.9719985128243764,-1.9386204851468405
25.0,-0.9674818940957387,-0.972860401948293,-1.9403422988255818
26.0,-0.967574290116628,-0.9731783829530081,-1.9407526741027832
27.0,-0.9672876168092092,-0.9732862728436787,-1.9405738898913065
28.0,-0.9678844720522563,-0.9740725485483805,-1.9419570191701254
29.0,-0.9681618852615357,-0.9744388128916422,-1.942600699742635
30.0,-0.9681391978263855,-0.9749260829289754,-1.9430652799606323
31.0,-0.9684637222290039,-0.9755625517368317,-1.9440262738863627
32.0,-0.9685202215512594,-0.9754501702785492,-1.9439703920682272
33.0,-0.9685867504278819,-0.9755828479131062,-1.944169600168864
34.0,-0.9687678980827331,-0.9761251855691274,-1.944893082300822
35.0,-0.9688797579606374,-0.9764844040870666,-1.9453641611735026
36.0,-0.9689577582677206,-0.9763247421582539,-1.9452825004259746
37.0,-0.9691362210114797,-0.9767329035600026,-1.945869124730428
38.0,-0.9693180723190308,-0.9774374741713207,-1.946755547205607
39.0,-0.969284540494283,-0.9773503413200378,-1.9466348803838094
40.0,-0.9696070739428202,-0.9777649295330048,-1.9473720048268637
41.0,-0.9694597303072612,-0.9778333624204,-1.947293092250824
42.0,-0.9692971487840016,-0.9780164436499278,-1.947313592592875
43.0,-0.9699579203128814,-0.97846124625206,-1.9484191646575928
44.0,-0.9697573645909627,-0.9784328809579214,-1.9481902470588683
45.0,-0.9699841408729554,-0.9785357929865519,-1.9485199343363444
46.0,-0.970018762588501,-0.9789252877235413,-1.948944049835205
47.0,-0.9701055575211843,-0.9787814556757609,-1.9488870126406352
48.0,-0.9702186994552612,-0.9794680006504058,-1.9496867008209229
49.0,-0.9704621274471283,-0.9794590601921082,-1.949921188990275
50.0,-0.9705225989818573,-0.9794911961555481,-1.9500137982368468
51.0,-0.9706199887593587,-0.9799796884059906,-1.9505996740659077
52.0,-0.970371704419454,-0.9797539686361949,-1.950125675837199
53.0,-0.9706556073824565,-0.9800957757631937,-1.9507513864835104
54.0,-0.9707414027849833,-0.9801680260499318,-1.950909427801768
55.0,-0.970901452143987,-0.9805830224355062,-1.9514844740231831
