iter,loss1,loss2,total_loss,val_loss
0.0,-0.8325761536982025,-0.873759591329431,-1.706335746813392,-1.7550720870965653
1.0,-0.9066738087867452,-0.9406809706027593,-1.8473547819292497,-1.8178456405892756
2.0,-0.9301904160554177,-0.9507549108265243,-1.8809453271200431,-1.8122849573644606
3.0,-0.9409158675870629,-0.9593289823887668,-1.9002448514044363,-1.8962266868889615
4.0,-0.9476350458579438,-0.9642518850839567,-1.9118869312593687,-1.8049687128308072
5.0,-0.9520536370664716,-0.9675152440680644,-1.9195688794678283,-1.8828864285919527
6.0,-0.9546864698634802,-0.9694815624093565,-1.9241680324315706,-1.838457169502644
7.0,-0.9545133348787513,-0.9710513539860315,-1.925564687039341,-1.887914170962751
8.0,-0.9595340324464079,-0.9730538805220004,-1.9325879093175244,-1.8992743752014016
9.0,-0.9597055403275115,-0.9736800538239562,-1.9333855942308347,-1.8043254463216893
10.0,-0.9574255230582348,-0.9743006668300349,-1.9317261891739663,-1.8576048708640003
11.0,-0.9615980897064057,-0.9757924256089842,-1.9373905160296931,-1.9036067782608441
12.0,-0.9616105466009615,-0.9764684478388963,-1.9380789939636556,-1.8672307241961101
13.0,-0.9608551549530537,-0.9760469803797421,-1.9369021365233015,-1.8796855795063303
14.0,-0.962857399180472,-0.9778256652040901,-1.9406830631146894,-1.884616260656625
15.0,-0.9640478265587087,-0.9790405287406099,-1.9430883557755207,-1.865886620623994
16.0,-0.9633848209196972,-0.9785059826986767,-1.941890803697741,-1.9200152089057188
17.0,-0.9645025228533383,-0.9797190268252407,-1.9442215491230097,-1.9180305405250657
18.0,-0.9651403048543257,-0.9802688691968447,-1.945409174924208,-1.924817460973116
19.0,-0.9653012459668593,-0.9805508014682764,-1.9458520485462742,-1.9153612247575516
20.0,-0.9659803412884435,-0.9810043930531183,-1.9469847350558651,-1.9010690177598082
21.0,-0.9654030225248375,-0.9809122177637052,-1.9463152402885426,-1.913340492836107
22.0,-0.9655303220933033,-0.9812443258759185,-1.9467746486041582,-1.913535479309058
23.0,-0.9662635549406872,-0.981950804333236,-1.9482143591945562,-1.9265104213973734
24.0,-0.9665589388931163,-0.9816870808442645,-1.948246020134216,-1.9311619725837528
25.0,-0.9673342353970645,-0.9827196528209986,-1.950053887900595,-1.9225081845670704
26.0,-0.9672384656539135,-0.9825400887888058,-1.9497785544427193,-1.8583811596859876
27.0,-0.9654468205495776,-0.9824261702646746,-1.9478729896634301,-1.832911760509485
28.0,-0.9663893156616729,-0.9828860833546452,-1.9492753977464454,-1.9315999746322632
29.0,-0.9678659504961554,-0.983630524256258,-1.9514964752286157,-1.9385768932188856
30.0,-0.9678953504276656,-0.98389331772229,-1.951788666721349,-1.9247247462777353
31.0,-0.9677156129784972,-0.9833952009122318,-1.9511108150812344,-1.9182104657611576
32.0,-0.968213355493609,-0.9839326719469459,-1.9521460288691617,-1.9365614430410978
33.0,-0.9682094685723397,-0.9842009711837006,-1.952410442851355,-1.9229531723176134
34.0,-0.9688304597623497,-0.9843078473119062,-1.9531383101695705,-1.9167408899861678
35.0,-0.9681342967975631,-0.9843883187412105,-1.9525226133958635,-1.9216283535317034
36.0,-0.9691657885095568,-0.9847766844315154,-1.9539424731791735,-1.9181096640431674
37.0,-0.9690646341891486,-0.9845963545867829,-1.9536609908394744,-1.863634266182898
38.0,-0.9674073520417855,-0.9846616815155578,-1.952069033001774,-1.9440124624336688
39.0,-0.969505149737179,-0.9854256694866084,-1.9549308188269523,-1.9436988843749108
40.0,-0.9698673230354066,-0.9853363797445589,-1.9552037014307257,-1.8800191702247608
41.0,-0.9698778852800555,-0.9856743110956429,-1.9555521952645598,-1.9309960986012342
42.0,-0.9695097252468612,-0.9855865148824954,-1.9550962405261918,-1.942218865640167
43.0,-0.9698258675684466,-0.9856257824383468,-1.9554516508798307,-1.9197420164307146
44.0,-0.9704531543899313,-0.9861318347615979,-1.9565849894689973,-1.9390837274268151
45.0,-0.9702648737935347,-0.9863489855145329,-1.956613858117562,-1.9321439544924817
46.0,-0.9687932948774092,-0.9855283560670327,-1.954321649277734,-1.8528979139117079
47.0,-0.9692575271215325,-0.9859618860459359,-1.9552194119769628,-1.9424298314309987
48.0,-0.9707450103981994,-0.9862862086486562,-1.9570312196817918,-1.940211204932576
49.0,-0.9707210166317803,-0.9865227989286939,-1.9572438154017402,-1.9422640301416647
50.0,-0.9708561961565132,-0.986825799180093,-1.957681992717494,-1.9345946488975536
51.0,-0.9709953033178053,-0.9868361725311939,-1.9578314760871003,-1.946212397179144
52.0,-0.971043251960795,-0.9866007406924282,-1.9576439916214519,-1.9206273503024809
53.0,-0.9704908523038922,-0.986633830635589,-1.9571246824632789,-1.907925122533741
54.0,-0.9702730745513651,-0.9867775901338549,-1.957050666669396,-1.947798759639734
55.0,-0.9710635334927931,-0.9869792221706812,-1.958042755107905,-1.8685955112390986
56.0,-0.9700641230482872,-0.9861281384005846,-1.9561922621631749,-1.9412573640003776
57.0,-0.9711499109407874,-0.9872493446270095,-1.9583992572345048,-1.915886404578343
58.0,-0.9712303972910946,-0.9873132817595999,-1.9585436793681625,-1.9359627773788115
59.0,-0.9716332577833641,-0.9876774320113516,-1.9593106887629441,-1.9444148337106568
60.0,-0.9716564464505598,-0.9876767630265969,-1.9593332094771567,-1.9436983813606732
61.0,-0.9720933881009148,-0.9878475258893242,-1.9599409143077073,-1.9457491466784365
62.0,-0.9720385791299823,-0.9879278496165727,-1.9599664284290867,-1.9559167962503659
63.0,-0.9718904222216651,-0.9878201271976517,-1.9597105497367848,-1.9423134470061292
64.0,-0.9720702226882609,-0.9879303444400133,-1.960000568794982,-1.9465845431573394
65.0,-0.9718951249567075,-0.9878956277106954,-1.95979075488968,-1.9451304199571293
66.0,-0.9722045652082217,-0.9883647064235652,-1.960569272028622,-1.9401661146308573
67.0,-0.97050942276194,-0.9874268705930596,-1.957936294307404,-1.8495152770625471
68.0,-0.9712303353054387,-0.9877389973394086,-1.95896933177181,-1.9323366967046054
69.0,-0.9721321430250744,-0.9878769578851174,-1.960009101386394,-1.9277602404026435
70.0,-0.972499069773881,-0.9884995980840549,-1.9609986665880632,-1.9395315044487444
71.0,-0.972228265713439,-0.9885331028787179,-1.9607613670841832,-1.9213726121290788
72.0,-0.9723199282124262,-0.9882046042206125,-1.9605245314012671,-1.9521295743719285
73.0,-0.9722383986617849,-0.9882027075865297,-1.9604411031530002,-1.8981164635451861
74.0,-0.9705571220336995,-0.9878620887088395,-1.9584192080440597,-1.9150058456695098
75.0,-0.9712634525012557,-0.9882999293496224,-1.9595633832497221,-1.8174835788130195
76.0,-0.9704751405671497,-0.9878867990802354,-1.9583619382187785,-1.9439996447043397
77.0,-0.9721724550511326,-0.9884245440105941,-1.960597000014131,-1.9514384708510002
78.0,-0.9721609511959569,-0.9886447772205114,-1.9608057291307717,-1.9421878523924527
79.0,-0.9722495688579371,-0.9884399089133851,-1.960689477057019,-1.8955539496965694
80.0,-0.9716410285305882,-0.9880670272557935,-1.9597080566594192,-1.9304962971764152
81.0,-0.9729823700280069,-0.9888584589989938,-1.9618408284714315,-1.9503414047084524
82.0,-0.9729932740271171,-0.9889959042145314,-1.961989176892409,-1.9376386820234206
83.0,-0.9730441776636278,-0.9889859123807773,-1.962030089806304,-1.9380478600943447
84.0,-0.9725419397995412,-0.9889360436110617,-1.9614779834899698,-1.9249257950986167
85.0,-0.9728175682646933,-0.988664855810996,-1.961482421535944,-1.9409906284127378
86.0,-0.9731366439125986,-0.9892513101967609,-1.962387954823663,-1.9546249984376616
87.0,-0.9731471497272842,-0.989357253603548,-1.9625044013466562,-1.9525582935384476
88.0,-0.9732059573682742,-0.9891505112819443,-1.962356469761357,-1.9268850811284866
89.0,-0.9732512314214846,-0.9893316292413541,-1.9625828597898014,-1.9365116892644392
90.0,-0.9733478034860126,-0.9895530936721162,-1.9629008952533198,-1.9568456128875227
91.0,-0.9733348132449682,-0.9895995460083576,-1.962934357348517,-1.935645385376085
92.0,-0.9733503380723387,-0.9894004465736815,-1.9627507855190576,-1.9329518753958728
93.0,-0.9735878236919205,-0.9897007358851985,-1.9632885605295234,-1.9505083719136025
94.0,-0.9735044193331316,-0.9895764639310926,-1.9630808820737187,-1.9562269662040481
95.0,-0.9735391390783967,-0.9897043887530758,-1.9632435278314726,-1.9457700056675675
96.0,-0.9736107578290286,-0.9896730882191309,-1.9632838454925903,-1.934633844083331
97.0,-0.9733586099430344,-0.9895135753957949,-1.9628721866087018,-1.9404000134264687
